"","date","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"35",2019-02-20,304.410004,306.299988,299,302.559998,7142100,302.559998
"36",2019-02-21,301.809998,303.23999,290.5,291.230011,8909200,291.230011
"37",2019-02-22,294.48999,296.5,292.100006,294.709991,5740600,294.709991
"38",2019-02-25,297.910004,302.899994,297,298.769989,6626500,298.769989
"39",2019-02-26,292.220001,302.01001,288.769989,297.859985,8582500,297.859985
"40",2019-02-27,301.779999,316.299988,300.549988,314.73999,11183900,314.73999
"41",2019-02-28,318.920013,320,310.809998,319.880005,10520700,319.880005
"42",2019-03-01,306.940002,307.130005,291.899994,294.790009,22911400,294.790009
"43",2019-03-04,298.119995,299,282.779999,285.359985,17096800,285.359985
"44",2019-03-05,282,284,270.100006,276.540009,18764700,276.540009
"45",2019-03-06,276.480011,281.51001,274.390015,276.23999,10335500,276.23999
"46",2019-03-07,278.839996,284.700012,274.25,276.589996,9442500,276.589996
"47",2019-03-08,276.910004,285.589996,275.890015,284.140015,8819600,284.140015
"48",2019-03-11,283.519989,291.279999,280.5,290.920013,7392300,290.920013
"49",2019-03-12,286.48999,288.070007,281.059998,283.359985,7504100,283.359985
"50",2019-03-13,283.899994,291.98999,282.700012,288.959991,6844700,288.959991
"51",2019-03-14,292.450012,295.390015,288.290009,289.959991,7103400,289.959991
"52",2019-03-15,283.51001,283.720001,274.399994,275.429993,14785500,275.429993
"53",2019-03-18,276,278.049988,267.299988,269.48999,10281000,269.48999
"54",2019-03-19,267.5,273.299988,263.459991,267.470001,11800600,267.470001
"55",2019-03-20,269.690002,274.970001,266.299988,273.600006,6908200,273.600006
"56",2019-03-21,272.600006,276.450012,268.450012,274.019989,5947100,274.019989
"57",2019-03-22,272.579987,272.799988,264,264.529999,8745600,264.529999
"58",2019-03-25,259.709991,263.179993,254.460007,260.420013,10215000,260.420013
"59",2019-03-26,264.440002,270.26001,264.429993,267.769989,7350900,267.769989
"60",2019-03-27,268.75,275.369995,268.179993,274.829987,8779200,274.829987
"61",2019-03-28,277.160004,280.329987,275.100006,278.619995,6774100,278.619995
"62",2019-03-29,278.700012,280.160004,274.5,279.859985,5991300,279.859985
"63",2019-04-01,282.619995,289.200012,281.279999,289.179993,8110400,289.179993
"64",2019-04-02,288.299988,289.440002,283.880005,285.880005,5478900,285.880005
"65",2019-04-03,287.320007,296.170013,287.170013,291.809998,7929900,291.809998
"66",2019-04-04,261.890015,271.200012,260.589996,267.779999,23720700,267.779999
"67",2019-04-05,269.859985,276.100006,266.109985,274.959991,13038300,274.959991
"68",2019-04-08,277.690002,281.160004,270.440002,273.200012,10410400,273.200012
"69",2019-04-09,271.649994,275,269.609985,272.309998,5904000,272.309998
"70",2019-04-10,276.73999,278.380005,272.890015,276.059998,7061300,276.059998
"71",2019-04-11,268.299988,270.5,265.600006,268.420013,9835900,268.420013
"72",2019-04-12,270.220001,271.950012,266.829987,267.700012,6746000,267.700012
"73",2019-04-15,268.630005,268.880005,258.630005,266.380005,10038600,266.380005
"74",2019-04-16,265.75,275,264.720001,273.359985,7272900,273.359985
"75",2019-04-17,274.75,274.790009,268.540009,271.230011,5126500,271.230011
"76",2019-04-18,271.230011,274.839996,269.75,273.26001,5876300,273.26001
"77",2019-04-22,269,269.679993,262.480011,262.75,12147100,262.75
"78",2019-04-23,260.149994,265.600006,255.75,263.899994,10943900,263.899994
"79",2019-04-24,263.850006,265.320007,258,258.660004,10727500,258.660004
"80",2019-04-25,255,259,246.070007,247.630005,21849400,247.630005
"81",2019-04-26,246.5,246.679993,231.130005,235.139999,22360700,235.139999
"82",2019-04-29,235.860001,243.979996,232.169998,241.470001,16714500,241.470001
"83",2019-04-30,242.059998,244.210007,237,238.690002,9464600,238.690002
"84",2019-05-01,238.850006,240,231.5,234.009995,10704400,234.009995
"85",2019-05-02,245.520004,247.130005,237.720001,244.100006,18159300,244.100006
"86",2019-05-03,243.860001,256.609985,243.490005,255.029999,23706800,255.029999
"87",2019-05-06,250.020004,258.350006,248.5,255.339996,10833900,255.339996
"88",2019-05-07,256.799988,257.209991,245.100006,247.059998,10131400,247.059998
"89",2019-05-08,246.940002,250.600006,244.199997,244.839996,6176400,244.839996
"90",2019-05-09,242,243.679993,236.940002,241.979996,6711400,241.979996
"91",2019-05-10,239.75,241.990005,236.020004,239.520004,7008300,239.520004
"92",2019-05-13,232.009995,232.470001,224.5,227.009995,10834800,227.009995
"93",2019-05-14,229.300003,234.5,228,232.309998,7252400,232.309998
"94",2019-05-15,229.320007,232.440002,225.25,231.949997,7296000,231.949997
"95",2019-05-16,229.490005,231,226.5,228.330002,7483300,228.330002
"96",2019-05-17,221.960007,222.240005,208.919998,211.029999,17786700,211.029999
"97",2019-05-20,202.800003,206,195.25,205.360001,20526200,205.360001
"98",2019-05-21,197.759995,207.399994,196.039993,205.080002,18003900,205.080002
"99",2019-05-22,199.100006,203.940002,191.779999,192.729996,18685200,192.729996
"100",2019-05-23,194.339996,199.470001,186.220001,195.490005,26547100,195.490005
"101",2019-05-24,199.830002,199.979996,188.75,190.630005,14136600,190.630005
"102",2019-05-28,191.199997,195,187.850006,188.699997,10312900,188.699997
"103",2019-05-29,187.100006,192.389999,185.039993,189.860001,11968600,189.860001
"104",2019-05-30,188.75,192.259995,187.020004,188.220001,7926500,188.220001
"105",2019-05-31,185.100006,189.919998,184.100006,185.160004,10406700,185.160004
"106",2019-06-03,185.509995,186.679993,176.990005,178.970001,13064400,178.970001
"107",2019-06-04,181.100006,193.979996,179.610001,193.600006,13807500,193.600006
"108",2019-06-05,198.679993,201.279999,191.850006,196.589996,13510800,196.589996
"109",2019-06-06,204.440002,211,201.800003,205.949997,20242200,205.949997
"110",2019-06-07,205,210.839996,203.5,204.5,16003500,204.5
"111",2019-06-10,210.25,216.940002,209.009995,212.880005,10585000,212.880005
"112",2019-06-11,219.139999,220.899994,213.5,217.100006,11653500,217.100006
"113",2019-06-12,222.949997,223.380005,209,209.259995,15186200,209.259995
"114",2019-06-13,210.380005,214.899994,207.509995,213.910004,8168300,213.910004
"115",2019-06-14,211.25,216.649994,210.399994,214.919998,7433400,214.919998
"116",2019-06-17,215.479996,227,214.270004,225.029999,12316800,225.029999
"117",2019-06-18,228.720001,234.740005,222.559998,224.740005,12715800,224.740005
"118",2019-06-19,225.110001,227.770004,221.059998,226.429993,6575100,226.429993
"119",2019-06-20,223,226.899994,216.350006,219.619995,11863500,219.619995
"120",2019-06-21,216.220001,222.179993,215.5,221.860001,8202100,221.860001
"121",2019-06-24,223.240005,225.860001,221.020004,223.639999,5750800,223.639999
"122",2019-06-25,224.389999,225.339996,219.490005,219.759995,6182100,219.759995
"123",2019-06-26,220.309998,227.229996,218.100006,219.270004,8507200,219.270004
"124",2019-06-27,219.449997,222.899994,217.350006,222.839996,6339700,222.839996
